A,B,C,value,status
REQUEIJAO LIGHT CATUPIRY 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002263219257938413,2
PAO DE QJO CATUP 1KG CATUPIRY,SACOLA PLASTICA MM BRANCA,,0.0002503257664083396,2
SUPER CANDIDA 5LT AGUA SANITARIA,SACOLA PLASTICA MM BRANCA,,0.0002468966463205541,2
SUPER CANDIDA 5LT AGUA SANITARIA,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0005646617744553414,2
SUPER CANDIDA 5LT AGUA SANITARIA,ACUC REF UNIAO 1KG,,0.0003509132889833802,2
SUPER CANDIDA 5LT AGUA SANITARIA,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0003280524883981437,2
SUPER CANDIDA 5LT AGUA SANITARIA,SACOLA PLASTICA MM CINZA,,0.0002766156870813616,2
MAC INST NISSIN GAL CAIPIRA 5X85GR,SACOLA PLASTICA MM BRANCA,,0.0002468966463205541,2
MAC INST NISSIN GAL CAIPIRA 5X85GR,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00020574720526712846,2
PACK POMAROLA TRAD SACHET 3X320G,SACOLA PLASTICA MM BRANCA,,0.0002457536062912923,2
PACK POMAROLA TRAD SACHET 3X320G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00020574720526712846,2
ACUC REF UNIAO 1KG,SACOLA PLASTICA MM BRANCA,,0.0002446105662620305,2
ACUC REF UNIAO 1KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0004572160117047299,2
ACUC REF UNIAO 1KG,CR DE LEITE PIRACANJUBA TP 200G,,0.000221749765676794,2
ACUC REF UNIAO 1KG,OLEO SOJA LIZA PET 900ML,,0.0002308940859108886,2
ACUC REF UNIAO 1KG,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002068902452963903,2
QUEIJO MINAS PADRAO REGINA KG,SACOLA PLASTICA MM BRANCA,,0.00024346752623276868,2
OVINHOS DE AMENDOIM 400G,SACOLA PLASTICA MM BRANCA,,0.00024346752623276868,2
GOMA TAPIOCA 1 KG DOCE MEL,SACOLA PLASTICA MM BRANCA,,0.00024118144617424502,2
GOMA PARA TAPIOCA GOMA DE TAPIOCA 1,SACOLA PLASTICA MM BRANCA,,0.00024118144617424502,2
GOMA PARA TAPIOCA GOMA DE TAPIOCA 1,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00025261184646686326,2
PAO FORMA 480G PLUS VITA,SACOLA PLASTICA MM BRANCA,,0.00024118144617424502,2
LEITE CONDENSADO TP 395G PIRACANJ,SACOLA PLASTICA MM BRANCA,,0.00023889536611572138,2
LEITE CONDENSADO TP 395G PIRACANJ,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022860800585236494,2
LEITE CONDENSADO TP 395G PIRACANJ,CR DE LEITE PIRACANJUBA TP 200G,,0.0003737740895686167,2
BEB LAC YOPRO CHOCOLATE 250ML,SACOLA PLASTICA MM BRANCA,,0.00023889536611572138,2
KETCHUP TRADICIONAL HEMMER 1 KG,SACOLA PLASTICA MM BRANCA,,0.00023889536611572138,2
PRESUNTO FATIADO 200 GR,SACOLA PLASTICA MM BRANCA,,0.00023660928605719772,2
ABACATE KG,SACOLA PLASTICA MM BRANCA,,0.00023660928605719772,2
FJAO CAR CAMIL T1 1KG,SACOLA PLASTICA MM BRANCA,,0.0002354662460279359,2
FJAO CAR CAMIL T1 1KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00027432960702283794,2
AZEITE GALLO EXTRA VIRGEM 750ML,SACOLA PLASTICA MM BRANCA,,0.00023318016596941225,2
AZEITE GALLO EXTRA VIRGEM 750ML,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022860800585236494,2
MINI OREO 10X35G,SACOLA PLASTICA MM BRANCA,,0.0002320371259401504,2
BISC POLV QUEIJO 200G MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.00022975104588162678,2
YPE LIQ 6X500ML DETERG LIQ NEUTRO,SACOLA PLASTICA MM BRANCA,,0.00022860800585236494,2
YPE LIQ 6X500ML DETERG LIQ NEUTRO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002068902452963903,2
BIS LEITE 3X126G,SACOLA PLASTICA MM BRANCA,,0.00022860800585236494,2
